date	year	month	day	sample_depth	gene	domain_name	division_name	class_name	lowest_classification_name	placement_type	RR_count
14_6_25	14	6	25	CM	18s	Eukaryota	Stramenopiles	Chrysophyceae	Spumella	fuzzy	4
14_6_25	14	6	25	CM	18s	Eukaryota	Stramenopiles	Chrysophyceae	unclassified Spumella	fuzzy	2
14_6_25	14	6	25	CM	18s	Eukaryota	Stramenopiles	Labyrinthulomycetes	unclassified Thraustochytrium	fuzzy	4
14_6_25	14	6	25	CM	18s	Eukaryota	Stramenopiles	NO MATCH	Stramenopiles	fuzzy	7
14_6_25	14	6	25	CM	18s	Eukaryota	Stramenopiles	Synurophyceae	Synurophyceae	fuzzy	39
14_6_25	14	6	25	CM	18s	Eukaryota	Viridiplantae	Chlorophyta	Mamiellophyceae	fuzzy	18
14_6_25	14	6	25	CM	18s	Eukaryota	Viridiplantae	Chlorophyta	prasinophytes	fuzzy	3
14_6_25	14	6	25	CM	18s	Eukaryota	Viridiplantae	Streptophyta	Dalbergieae	fuzzy	2
14_6_25	14	6	25	DP	18s	Eukaryota	Alveolata	Apicomplexa	Eimeria	fuzzy	2
14_6_25	14	6	25	DP	18s	Eukaryota	Alveolata	Ciliophora	Choreotrichia	fuzzy	5
14_6_25	14	6	25	DP	18s	Eukaryota	Alveolata	Ciliophora	Intramacronucleata	fuzzy	2
14_6_25	14	6	25	DP	18s	Eukaryota	Alveolata	Ciliophora	Prorodontida	fuzzy	8
14_6_25	14	6	25	DP	18s	Eukaryota	Alveolata	Ciliophora	Scuticociliatia	fuzzy	3
14_6_25	14	6	25	DP	18s	Eukaryota	Alveolata	Ciliophora	Spirotrichea	fuzzy	18
14_6_25	14	6	25	DP	18s	Eukaryota	Alveolata	Ciliophora	Strombidiidae	fuzzy	10
14_6_25	14	6	25	DP	18s	Eukaryota	Alveolata	Ciliophora	Tintinnopsis	fuzzy	6
14_6_25	14	6	25	DP	18s	Eukaryota	Alveolata	Ciliophora	Trichostomatia	fuzzy	4
14_6_25	14	6	25	DP	18s	Eukaryota	Alveolata	Dinophyceae	Amoebophrya	fuzzy	111
14_6_25	14	6	25	DP	18s	Eukaryota	Alveolata	Dinophyceae	Dinophyceae	fuzzy	113
14_6_25	14	6	25	DP	18s	Eukaryota	Alveolata	Dinophyceae	Gymnodiniales	fuzzy	5388
14_6_25	14	6	25	DP	18s	Eukaryota	Alveolata	Dinophyceae	Peridiniales	fuzzy	312
14_6_25	14	6	25	DP	18s	Eukaryota	Alveolata	Dinophyceae	Polykrikaceae	fuzzy	6335
14_6_25	14	6	25	DP	18s	Eukaryota	Alveolata	Dinophyceae	Protoperidinium	fuzzy	76
14_6_25	14	6	25	DP	18s	Eukaryota	Alveolata	Dinophyceae	Syndiniales	fuzzy	235
14_6_25	14	6	25	DP	18s	Eukaryota	Alveolata	Dinophyceae	environmental samples	fuzzy	238
14_6_25	14	6	25	DP	18s	Eukaryota	Amoebozoa	Mycetozoa	Stemonitis	fuzzy	4
14_6_25	14	6	25	DP	18s	Eukaryota	Cryptophyta	Cryptomonadales	Cryptomonadaceae	fuzzy	18
14_6_25	14	6	25	DP	18s	Eukaryota	Cryptophyta	Pyrenomonadales	Pyrenomonadaceae	fuzzy	26
14_6_25	14	6	25	DP	18s	Eukaryota	Cryptophyta	unclassified Cryptophyta	unclassified Cryptophyta	fuzzy	7
14_6_25	14	6	25	DP	18s	Eukaryota	Opisthokonta	Metazoa	Annelida	fuzzy	2
14_6_25	14	6	25	DP	18s	Eukaryota	Opisthokonta	Metazoa	Calanoida	fuzzy	169
14_6_25	14	6	25	DP	18s	Eukaryota	Opisthokonta	Metazoa	Calcaxonia	fuzzy	51
14_6_25	14	6	25	DP	18s	Eukaryota	Opisthokonta	Metazoa	Cyclopoida	fuzzy	2342
14_6_25	14	6	25	DP	18s	Eukaryota	Opisthokonta	Metazoa	Hesionidae	fuzzy	2
14_6_25	14	6	25	DP	18s	Eukaryota	Opisthokonta	Metazoa	Mytilicolidae	fuzzy	3
14_6_25	14	6	25	DP	18s	Eukaryota	Opisthokonta	Metazoa	Nemertodermatidae	fuzzy	4
14_6_25	14	6	25	DP	18s	Eukaryota	Opisthokonta	Metazoa	Pelodera	fuzzy	2
14_6_25	14	6	25	DP	18s	Eukaryota	Opisthokonta	Metazoa	Podoplea	fuzzy	80
14_6_25	14	6	25	DP	18s	Eukaryota	Opisthokonta	Metazoa	Pontellidae	fuzzy	2
14_6_25	14	6	25	DP	18s	Eukaryota	Opisthokonta	NO MATCH	Opisthokonta	fuzzy	2
14_6_25	14	6	25	DP	18s	Eukaryota	Rhizaria	Cercozoa	Cercomonadida	fuzzy	15
14_6_25	14	6	25	DP	18s	Eukaryota	Rhizaria	Cercozoa	Cercomonadidae	fuzzy	27
14_6_25	14	6	25	DP	18s	Eukaryota	Rhizaria	Cercozoa	Cercozoa	fuzzy	9
14_6_25	14	6	25	DP	18s	Eukaryota	Rhizaria	Cercozoa	Silicofilosea	fuzzy	6
14_6_25	14	6	25	DP	18s	Eukaryota	Rhizaria	NO MATCH	Rhizaria	fuzzy	2
14_6_25	14	6	25	DP	18s	Eukaryota	Stramenopiles	Bacillariophyta	Bacillariophyta	fuzzy	5
14_6_25	14	6	25	DP	18s	Eukaryota	Stramenopiles	Bacillariophyta	Biddulphia	fuzzy	4
14_6_25	14	6	25	DP	18s	Eukaryota	Stramenopiles	Bacillariophyta	Biddulphiaceae	fuzzy	3
14_6_25	14	6	25	DP	18s	Eukaryota	Stramenopiles	Bacillariophyta	Biddulphiophycidae	fuzzy	15
14_6_25	14	6	25	DP	18s	Eukaryota	Stramenopiles	Bacillariophyta	Coscinodiscophyceae	fuzzy	16
