gene	sample	domain_name	division_name	class_name	lowest_classification_name	placement_type	RR_count
BB062514BCM18S	BB062514BCM18S	Eukaryota	Viridiplantae	Chlorophyta	prasinophytes	fuzzy	3
BB062514BCM18S	BB062514BCM18S	Eukaryota	Viridiplantae	Streptophyta	Dalbergieae	fuzzy	2
BB062514BDp18S	BB062514BDp18S	Eukaryota	Alveolata	Apicomplexa	Eimeria	fuzzy	2
BB062514BDp18S	BB062514BDp18S	Eukaryota	Alveolata	Ciliophora	Choreotrichia	fuzzy	5
BB062514BDp18S	BB062514BDp18S	Eukaryota	Alveolata	Ciliophora	Intramacronucleata	fuzzy	2
BB062514BDp18S	BB062514BDp18S	Eukaryota	Alveolata	Ciliophora	Prorodontida	fuzzy	8
BB062514BDp18S	BB062514BDp18S	Eukaryota	Alveolata	Ciliophora	Scuticociliatia	fuzzy	3
BB062514BDp18S	BB062514BDp18S	Eukaryota	Alveolata	Ciliophora	Spirotrichea	fuzzy	18
BB062514BDp18S	BB062514BDp18S	Eukaryota	Alveolata	Ciliophora	Strombidiidae	fuzzy	10
BB062514BDp18S	BB062514BDp18S	Eukaryota	Alveolata	Ciliophora	Tintinnopsis	fuzzy	6
BB062514BDp18S	BB062514BDp18S	Eukaryota	Alveolata	Ciliophora	Trichostomatia	fuzzy	4
BB062514BDp18S	BB062514BDp18S	Eukaryota	Alveolata	Dinophyceae	Amoebophrya	fuzzy	111
BB062514BDp18S	BB062514BDp18S	Eukaryota	Alveolata	Dinophyceae	Dinophyceae	fuzzy	113
BB062514BDp18S	BB062514BDp18S	Eukaryota	Alveolata	Dinophyceae	Gymnodiniales	fuzzy	5388
BB062514BDp18S	BB062514BDp18S	Eukaryota	Alveolata	Dinophyceae	Peridiniales	fuzzy	312
BB062514BDp18S	BB062514BDp18S	Eukaryota	Alveolata	Dinophyceae	Polykrikaceae	fuzzy	6335
BB062514BDp18S	BB062514BDp18S	Eukaryota	Alveolata	Dinophyceae	Protoperidinium	fuzzy	76
BB062514BDp18S	BB062514BDp18S	Eukaryota	Alveolata	Dinophyceae	Syndiniales	fuzzy	235
BB062514BDp18S	BB062514BDp18S	Eukaryota	Alveolata	Dinophyceae	environmental samples	fuzzy	238
BB062514BDp18S	BB062514BDp18S	Eukaryota	Amoebozoa	Mycetozoa	Stemonitis	fuzzy	4
BB062514BDp18S	BB062514BDp18S	Eukaryota	Cryptophyta	Cryptomonadales	Cryptomonadaceae	fuzzy	18
BB062514BDp18S	BB062514BDp18S	Eukaryota	Cryptophyta	Pyrenomonadales	Pyrenomonadaceae	fuzzy	26
BB062514BDp18S	BB062514BDp18S	Eukaryota	Cryptophyta	unclassified Cryptophyta	unclassified Cryptophyta	fuzzy	7
BB062514BDp18S	BB062514BDp18S	Eukaryota	Opisthokonta	Metazoa	Annelida	fuzzy	2
BB062514BDp18S	BB062514BDp18S	Eukaryota	Opisthokonta	Metazoa	Calanoida	fuzzy	169
BB062514BDp18S	BB062514BDp18S	Eukaryota	Opisthokonta	Metazoa	Calcaxonia	fuzzy	51
BB062514BDp18S	BB062514BDp18S	Eukaryota	Opisthokonta	Metazoa	Cyclopoida	fuzzy	2342
BB062514BDp18S	BB062514BDp18S	Eukaryota	Opisthokonta	Metazoa	Hesionidae	fuzzy	2
BB062514BDp18S	BB062514BDp18S	Eukaryota	Opisthokonta	Metazoa	Mytilicolidae	fuzzy	3
BB062514BDp18S	BB062514BDp18S	Eukaryota	Opisthokonta	Metazoa	Nemertodermatidae	fuzzy	4
BB062514BDp18S	BB062514BDp18S	Eukaryota	Opisthokonta	Metazoa	Pelodera	fuzzy	2
BB062514BDp18S	BB062514BDp18S	Eukaryota	Opisthokonta	Metazoa	Podoplea	fuzzy	80
BB062514BDp18S	BB062514BDp18S	Eukaryota	Opisthokonta	Metazoa	Pontellidae	fuzzy	2
BB062514BDp18S	BB062514BDp18S	Eukaryota	Opisthokonta	NO MATCH	Opisthokonta	fuzzy	2
BB062514BDp18S	BB062514BDp18S	Eukaryota	Rhizaria	Cercozoa	Cercomonadida	fuzzy	15
BB062514BDp18S	BB062514BDp18S	Eukaryota	Rhizaria	Cercozoa	Cercomonadidae	fuzzy	27
BB062514BDp18S	BB062514BDp18S	Eukaryota	Rhizaria	Cercozoa	Cercozoa	fuzzy	9
BB062514BDp18S	BB062514BDp18S	Eukaryota	Rhizaria	Cercozoa	Silicofilosea	fuzzy	6
BB062514BDp18S	BB062514BDp18S	Eukaryota	Rhizaria	NO MATCH	Rhizaria	fuzzy	2
BB062514BDp18S	BB062514BDp18S	Eukaryota	Stramenopiles	Bacillariophyta	Bacillariophyta	fuzzy	5
BB062514BDp18S	BB062514BDp18S	Eukaryota	Stramenopiles	Bacillariophyta	Biddulphia	fuzzy	4
BB062514BDp18S	BB062514BDp18S	Eukaryota	Stramenopiles	Bacillariophyta	Biddulphiaceae	fuzzy	3
BB062514BDp18S	BB062514BDp18S	Eukaryota	Stramenopiles	Bacillariophyta	Biddulphiophycidae	fuzzy	15
BB062514BDp18S	BB062514BDp18S	Eukaryota	Stramenopiles	Bacillariophyta	Coscinodiscophyceae	fuzzy	16
BB062514BDp18S	BB062514BDp18S	Eukaryota	Stramenopiles	Bacillariophyta	Thalassiosiraceae	fuzzy	3
BB062514BDp18S	BB062514BDp18S	Eukaryota	Stramenopiles	Chrysophyceae	Chromulinaceae	fuzzy	8
BB062514BDp18S	BB062514BDp18S	Eukaryota	Stramenopiles	Chrysophyceae	Chromulinales	fuzzy	4
BB062514BDp18S	BB062514BDp18S	Eukaryota	Stramenopiles	Chrysophyceae	Spumella	fuzzy	19
BB062514BDp18S	BB062514BDp18S	Eukaryota	Stramenopiles	Chrysophyceae	Spumella-like flagellate JB	fuzzy	5
BB062514BDp18S	BB062514BDp18S	Eukaryota	Stramenopiles	Chrysophyceae	unclassified Chrysophyceae	fuzzy	24
BB062514BDp18S	BB062514BDp18S	Eukaryota	Stramenopiles	Chrysophyceae	unclassified Spumella	fuzzy	19
BB062514BDp18S	BB062514BDp18S	Eukaryota	Stramenopiles	Labyrinthulomycetes	unclassified Thraustochytriidae	fuzzy	2
BB062514BDp18S	BB062514BDp18S	Eukaryota	Stramenopiles	Labyrinthulomycetes	unclassified Thraustochytrium	fuzzy	2
BB062514BDp18S	BB062514BDp18S	Eukaryota	Stramenopiles	NO MATCH	Stramenopiles	fuzzy	6
BB062514BDp18S	BB062514BDp18S	Eukaryota	Stramenopiles	PX clade	Mischococcales	fuzzy	2
BB062514BDp18S	BB062514BDp18S	Eukaryota	Stramenopiles	Synurophyceae	Synurophyceae	fuzzy	15
BB062514BDp18S	BB062514BDp18S	Eukaryota	Viridiplantae	Chlorophyta	Mamiellophyceae	fuzzy	33
BB062514BDp18S	BB062514BDp18S	Eukaryota	Viridiplantae	Streptophyta	Dalbergieae	fuzzy	13
BB062514BDp18S	BB062514BDp18S	Eukaryota	Viridiplantae	Streptophyta	environmental samples	fuzzy	2
BB062514BDp18S	BB062514BDp18S	Eukaryota	environmental samples	named eukaryotic clones	named eukaryotic clones	fuzzy	40
